text,sentiment_score,binary_sentiment
"[""reiterated 'Outperform' rating""]",0.694,1
['airplanes are still flying'],0.262,1
"['$MTD $341 from $325', '']",0.362,1
['bond buying is signaling some bad moves for the market'],-0.361,0
"['I see more downside in next two weeks', 'be careful', '-20 dollars drop potential']",-0.477,0
"['has just about run its course', 'needs to find a way to turn around']",-0.449,0
['Biggest Market Losers'],-0.438,0
"['Loaded up on $bsx yesterday', 'looking good now', 'Still think way more upside than downside.']",0.664,1
['Notable gainers among liquid option names this morning'],0.513,1
['Alcohol to Jet Fuel Now Eligible to be Used for Commercial Flight'],0.026,1
"['5-star analyst @brianwieser from Pivotal Research upgraded rating on $GOOGL to BUY', 'Brian has a 79% success rate']",0.561,1
"['Santa Rally', 'blow off top']",0.220,1
['iPhone 6s is still better than Galaxy S7'],0.385,1
"[""didn't factor in anything other than google and repeated good earnings""]",0.102,1
['Facebook is succeeding where Google should have dominated'],0.531,1
['$UCO +4.44%'],0.442,1
['up on day and will continue a surge next week.'],0.509,1
['Facebook stock is now +$72'],0.272,1
['ripe for a squeeze again'],-0.216,0
['Biggest Market Losers'],-0.438,0
"['with personal story sharing declining', 'will $FB feeds start to look more like $TWTR']",-0.393,0
"['upgrades', 'stock recuperates']",0.334,1
"['saying this is a peak = fear mongering', ""Competition's dying"", 'smartphone usage increasing']",0.329,1
['the most trending'],0.216,1
"[""who won't pay anymore"", 'REAL risk']",-0.349,0
['still they are saying bullish LoL'],-0.038,0
"[""today's bull flag""]",0.200,1
"['growth rate of approximately 122.0% to 124.9%.', 'total net revenues to be between $780 mln and $790']",0.305,1
"['lots of nice setups in Energy ', 'liking Whiting more each day $CRZO too']",0.293,1
"['Bad governance', 'not confident in core biz']",-0.331,0
['Airplane And Hospitality Industries Set Their Sights On #Cuba'],0.405,1
['Landed in $EA'],0.422,1
['bought $skf as a hedge'],0.466,1
"['Transports always lead the way', 'bull flag']",0.594,1
['here is no case here'],0.180,1
['$JOE Getting attention. No.2 on NYSE 100 top buying list'],0.788,1
['Short Setups Looking Nice....Really Nice'],-0.464,0
['Highest close since'],0.387,1
['should bring $SPX down into the close.'],-0.462,0
[''],0.295,1
"['money flow & stochastic dropping', 'itting resistance at the 200-day downtrend', 'Retest 50-day?']",-0.577,0
['9% run for this watch list winner'],0.066,1
['have had 2 wks of fund inflows for the first time'],0.580,1
['$GOOG $GOOGL would suck'],-0.404,0
['ses warrants to buy $1.17B & 14.97% of AmerisourceBergen(PBR16) shares'],0.301,1
['Not every idea $AMZN has is bad.'],0.235,1
"['looks primed', 'poised to run too']",0.400,1
['Yahoo extends bidding deadline as interest grows'],0.613,1
['good news for domestic automakers'],0.413,1
['mrkt needs to washout'],-0.055,0
"['valuation is high', 'No net cash', 'fwd growth <10%', 'high peg', 'historical high pe & fwd PE']",-0.355,0
"['$WFM dropping below $30 again', 'not enthusing Investors']",-0.499,0
"['$HTZ', 'lower']",-0.341,0
['Recall Adds To Reliability Issues'],-0.267,0
"[""I'm out""]",-0.140,0
['Think I may just start to avoid bios'],-0.230,0
['LVMH affordable #luxe doing just fine helped by duty-free & confident mainstream shoppers'],0.450,1
['no crying you get out'],-0.462,0
"['Trying to break daily trend line!', 'Big move could happen']",0.485,1
['Went long on this'],0.449,1
"['If bulls lucky enuff to get an upside gap fill, better take it']",0.054,1
"[""wouldn't call any of these banks h+s quite yet""]",0.335,1
"['banks to implode', 'stress tests failing', ' selloff']",-0.298,0
['New recommendation from Carl Kirst of BMO Capital Markets'],0.566,1
['near a buy point last week'],0.102,1
['PC shipments drop to lowest level since 2007'],-0.452,0
"['Momentum building for breakout trigger', 'Long setup']",0.592,1
"['consistent gains but small', 'one of my favorite trade']",0.219,1
['$AAPL cult on stocktwits is actually disgusting'],-0.151,0
"['Higher In Afternoon Trade', 'Buy Point']",0.243,1
['Sector Stocks Leading Today'],0.454,1
['$ADBE flying'],0.361,1
"['Tesla to recall 2,700 Model X SUVs over seat issue']",-0.310,0
['Back in'],0.383,1
"['US Adds 321K Jobs In November', 'Unemployment Rate Remains At ', 'Gold Futures off']",0.243,1
['under pressure along with the market'],0.014,1
['cash & cheap financing is fueling a wave of acquisitions'],0.390,1
['Worst #sentiment for #SP1500 #stocks at market close'],-0.479,0
"['gold going parabolic', 'keep chasing those tops boys']",0.442,1
['I would take profits if you have them'],-0.244,0
['never widen your stop to stay in a trade'],-0.412,0
['slips alongside shares on NSA leak news'],-0.198,0
['Best outperformers ranked'],0.492,1
['$GOOGL is setting up above its 50-day moving average'],0.696,1
"['weakest sector this year', 'possible false breakout']",-0.458,0
"['Tesla is recalling 2,700 Model X cars']",-0.291,0
['Unusual Call Activity'],0.421,1
['Wish had my puts bac'],-0.485,0
"['see if they maintain 15% yield', 'should be announcing the monthly divy']",0.078,1
['look at all the shorts running for cover'],0.375,1
"['As with all 3x ETFs, it is subject to decay due to daily rebalancin', 'so be careful holding']",-0.234,0
['Signs of life are emerging :)'],0.270,1
['Markets Back in Black for 2016'],0.271,1
['I rather be neutral to bullish rather than bearish'],0.185,1
['Diversifies. Adds International exposure'],0.219,1
['Out $AAPL'],-0.270,0
"['capped', 'this range leads to meltdown']",-0.172,0
['long on'],0.185,1
['$GOOGL patents turn signal detector for autonomous cars.'],0.241,1
['moves up a little more today off of cup and handle'],0.306,1
['makes less profit than the sales of $AAPL Watch'],-0.641,0
['Comparable Store Sales -4%'],-0.441,0
['Making higher highs & higher lows as it consolidates over past several weeks'],0.478,1
['looking to add a gold miner and possibly lower pe tech name into close'],0.425,1
['sold at 139.26 and flat'],-0.695,0
['suddenly realizing'],-0.147,0
['long'],0.488,1
['$FIT and $SUNE have not changed.'],-0.179,0
"['$NUGT fucking beast mode, kicking shirts in the NUGT pouch']",0.665,1
['my hospital reits are slaughtered'],-0.399,0
['i want to cry'],-0.595,0
['3 Top Japan ETFs To Surge Higher In 2H'],0.456,1
['New bullish conversation activity'],0.461,1
['Bottom Losses'],-0.411,0
"['just follow the trend, follow the money flow']",0.165,1
['Short Squeeze Ready To Upside w Crossing Important Technical Level'],0.219,1
"[""I'll take the other side of that trade""]",0.422,1
['I love this stock/Co'],-0.125,0
['no choice but to be positve'],0.323,1
['Word on the street is that Allergen is looking at Endo International'],0.472,1
['buy $WYNN'],0.489,1
"['$TSLA hype the news', 'sell on news']",-0.073,0
"['Three black crows followed by a potential bear flag', 'not looking promising short term']",-0.569,0
"['Looking for a strong bounce', 'Lunchtime rally coming']",0.460,1
['trails $MSFT $ORCL $GOOG $CRM $ADBE'],0.177,1
"['Stay With Best Of Breed', 'Has Room To Run']",0.417,1
['Nice day rally!'],0.529,1
['orgetting the potential relative value of its users'],0.316,1
['looking goo for 35.80s break out. It must hold 35.40s'],0.307,1
['USIO ops are profitable'],-0.362,0
['Bot $GMCR 75 Nov Call'],0.614,1
['Reasons for caution about Chinese stocks'],-0.317,0
['outperforms'],0.525,1
['earish Trader bets $550K that Stock Will Sell Off'],-0.493,0
['congrats shorts'],-0.494,0
['Downbeaten stocks may be ripe for buys'],0.316,1
"['picked some up', 'like this going into 2014']",0.653,1
"['Worst performers today', ' $MGM $IO -6%']",-0.351,0
['nt done good with that name so will pass it'],-0.319,0
['its been nothing but down'],-0.430,0
['Bullish MA Crossovers'],0.457,1
['player onto the 211 puts'],-0.652,0
['Someone wants in'],0.290,1
"[""$pcln back over 'up' trendline""]",0.308,1
['Found some good bull setups this week'],0.448,1
['is just humming easing overbought'],-0.404,0
"['just follow the trend, follow the money flow']",0.165,1
['is up 19%'],0.128,1
['Sector Stocks Leading Today'],0.454,1
"['Ron Johnson tried, and failed, to inject a bit of Apple culture into JC Penney']",-0.335,0
"['not the prettiest candlesticks', 'no signs of gap fill yet']",0.000,1
['agree risky watching very closely'],-0.375,0
"['breakout from the consolidation zone', 'bot some @']",0.724,1
['Took Small posistion on $TSLA'],-0.114,0
['flop would just get everyone running to the fences.'],-0.546,0
['Unusual Call Activity'],0.421,1
['Worst #sentiment for #SP1500 #stocks at market close'],-0.479,0
['new squeeze plays'],-0.339,0
"['people are calling it bearish', 'Some heading for exits already']",-0.148,0
"['long $SQ', 'LONG 3300 SQ']",0.325,1
['Fader play here'],-0.219,0
['all sectors improved in bullish breadth.'],0.647,1
['top-rated'],0.428,1
['Stochastic Overbought'],-0.516,0
['China February Retail Sales: E-Commerce Remains Resilient'],0.383,1
['China February Retail Sales: E-Commerce Remains Resilient'],0.383,1
['Large cap tech is finally trying to catch up with the rest of the market'],0.373,1
['Stock dropping hard...'],-0.626,0
['Recall will not impact financial results'],0.198,1
[''],0.390,1
['very weak res'],-0.263,0
"['gap up today? ', 'they say the heat is coming']",0.454,1
['top-rated'],0.428,1
"['Coming from far could go far', 'Stock price implies you pay nothing for the business']",0.298,1
['LNKD is great but doesnt the potential side with Fb'],0.484,1
['Long $ENDP @ $26.23 on $AGN b/o rumor'],0.570,1
['oil back above 60'],0.543,1
['Short Setups Looking Nice....Really Nice'],-0.464,0
['gist of downgrades was apple failed to make a phone th'],-0.312,0
"['Another 3% gain in $RIGL', ""following last week's huge call buying in the Apr""]",0.378,1
"['$STX', 'Higher']",0.334,1
['$GRPN having a much better day than $FB'],-0.285,0
['stocks insiders are bullish on'],0.433,1
['hipments on track to exceed forecasts'],0.367,1
['LVMH affordable #luxe doing just fine helped by duty-free & confident mainstream shoppers'],0.450,1
['cover all'],0.114,1
['SS interest rose on 12/15 on day before we hit our lows. http://stks.co/c1QKr'],-0.405,0
['Most bullish stocks on Twitter during this dip'],0.408,1
"['$FCX 1.9% now', 'March $36 puts now +8.33%']",-0.327,0
['First quarter is amazing'],0.322,1
"['$SAP Q1 disappoints as #software licenses down', 'Real problem?']",-0.431,0
"[""Today's losers""]",-0.317,0
['looking for a sharp move up in equities'],0.368,1
['gap fill coming up'],0.511,1
"[""Report: Apple signs up for Google's cloud"", 'uses much less of Amazon']",-0.380,0
"['$FB TO $107 TOMORROW!?', 'Show me the $$$']",0.539,1
['over 225 million new Internet users are being added globally every year'],0.337,1
['Covered Call'],0.329,1
"['Long', 'buying point']",0.660,1
"[""I've been picking up railroad stocks for the retirement acct""]",0.441,1
['when there is turmoil in the MENA region shippers perform'],0.397,1
"['Going back in, but slowly']",0.119,1
['down 12% since I alerted it a short sell on 3-25'],-0.391,0
['Bet the farm on'],0.395,1
['Interest Heats Up for @Yahoo $YHOO'],0.413,1
"['the parties over', 'volatility is back']",-0.223,0
['Stocks Higher In Afternoon Trade'],0.314,1
['Highest call to put ratio'],0.348,1
"['Apparently Intel thinks women should get paid the same as men', '$INTC Gender Pay Parity at 100%']",0.447,1
['$GS is looking weak while this market is moving higher not a good sign'],-0.597,0
['1Mil Buy order at'],0.426,1
['top stocks'],0.376,1
['Top Stocks in 2015 are Ready to Lead Again in 2016'],0.414,1
"['640m globally this week on avengers really sick ,Stan lee is a beast']",0.240,1
"['plus its Irish based', ' getting rid of its generic biz']",0.226,1
['In'],0.646,1
['13F Shows New Stakes in '],0.468,1
"['gap up today? ', 'they say the heat is coming']",0.446,1
['Breakout watch'],0.352,1
['Short Setups Looking Nice....Really Nice'],-0.464,0
['getting a lot of hype'],0.095,1
['Court tells states to leave $GOOG alone'],0.291,1
['Got a nice push today'],0.280,1
"['Unloaded $16,673 Worth of The Ensign Group, Inc. (NASDAQ:ENSG) Shares']",-0.460,0
['$23 by the end of the week..did you snatch ur 21'],0.257,1
['continues its rally'],0.538,1
['it With Lawsuit from Russian Search Engine'],-0.170,0
['#oversold'],0.406,1
['have had 2 wks of fund inflows for the first time'],0.580,1
['MU down 2.3% today and down 8.9%'],-0.469,0
['Unusual call buying'],0.336,1
['$KO:US #COCA-COLA CO 19Oct Positive'],0.646,1
"['Sales weak', 'margins down', 'debt still way up']",-0.515,0
"['just broke resistance', '#redtogreen', '#breakout', 'right out of the gate tomorrow morning']",0.598,1
['$FFIV up 7$'],0.320,1
['bot $CHRW'],0.437,1
"['Break-out thru 50 & 200- DMA', 'Short squeeze in progress']",0.504,1
"['now up 2.2%', 'Still holding']",0.523,1
['Bid for Reargument Denied by Judge'],-0.354,0
['with upcoming first support in a few days or weeks!'],0.274,1
['$CAFN Cachet Financial Solutions Surging Forward today post earnings Up +13.26%'],0.418,1
['lots of green on the 5 min'],0.318,1
['looking to buy'],0.320,1
"[""I don't think is the right fit""]",-0.296,0
"['stochastics finally starting to turn up', 'Buying here']",0.702,1
['Another Sell Rating'],-0.389,0
['Very nice breakout on a very nice stock'],1.000,1
"['launching shopping bot', 'catalyst2016', '#catalyst2016']",0.348,1
"[""Buy these 3 stocks while there's blood in the streets""]",0.415,1
['Goldman Sachs reiterates conviction buy on'],0.334,1
"['losers', 'no profit', 'so sad']",-0.383,0
['Long term uptrend intract so far'],0.368,1
['the most trending'],0.216,1
[''],0.000,1
['Will be adding on dips'],0.154,1
['Added long at friday close'],0.513,1
"[""losing $400M of $AAPL's business""]",-0.015,0
['#oversold'],0.406,1
['Picking up a couple shares of $GOOG today'],0.364,1
['My broker has no shorts who has them?'],-0.533,0
"['sales numbers still holding up so well', 'igh end might not be a concern after all.']",0.315,1
['trying to drag $bidu with it.'],-0.524,0
['over 225 million new Internet users are being added globally every year'],0.337,1
"['downgraded to neutral at Deutsche Bank', 'Price target reduced']",-0.446,0
['Five Stocks that Helped Starboard Values Equity Portfolio Return 6.5% in Q1'],0.432,1
"['buy zone today', 'take swing trade profits']",0.285,1
"['big picture is BRILLIANT', 'Boy-wonder visionary Zuck!']",0.355,1
"['bounce right now has no vol, more vol when it slid']",0.190,1
['another story stock with an unhappy ending'],-0.426,0
"['Love it', '#bullish']",0.648,1
['Most bullish stocks on Twitter during this dip'],0.408,1
['Mark Zuckerberg is doing an amazing job'],0.326,1
"[""today's top gainers""]",0.447,1
"['has had a history of a lack of PR', 'shame for investors']",-0.210,0
['closed Friday with the RS line in new highs'],0.371,1
['look out belooooooowwww'],-0.850,0
['whole Semiconductor space looks interesting'],0.328,1
['To Combine In $37 Billion Deal'],0.241,1
['peaks above HOD'],0.318,1
"['Problem for shorts', 'every fund out there will want to buy this thing on a a pullback']",0.358,1
['awesomely bullish stocks'],0.680,1
['There is a good base building'],0.228,1
['Biggest Market Losers'],-0.438,0
['Highest call to put ratio'],0.348,1
['SOLD to close $QQQ puts for +34%'],-0.059,0
['ooks pretty bullish for now'],0.323,1
"['looks really interesting on drop', 'grabbed some options and stock', 'enough tme before earnings to grow the stock', 'growth all sectors']",0.579,1
['covered some shorts'],0.294,1
['Add to'],0.483,1
['triple top forming.'],0.028,1
['will end up selling for pennies on the dollar'],-0.441,0
"['looking sexy this morning', 'break on volume']",0.678,1
['Whole Foods shareholders vote down activist initiatives'],-0.076,0
['Imagine $AAPL TV impact!! $$$'],0.240,1
['Southwest Is at Its Lowest Multiple Ever'],0.106,1
['Still too early for an entry'],-0.387,0
['Moved Upper Bollinger Band'],0.498,1
['Today I bought more'],0.087,1
"[""won't have anyone buying products""]",-0.429,0
['Short Setups Looking Nice....Really Nice'],-0.464,0
['still long term fan!'],0.377,1
['What a nice reversal.'],0.318,1
['TripAdvisor jumps on M&A rumors'],0.470,1
"['$TSLA Recalls 2,700 Model X Vehicle', 'Shares Volatile']",-0.336,0
"['Long tech', 'calls']",0.384,1
"['Breakout Should be Confirmed', 'Upturn']",0.448,1
['Best performers'],0.376,1
['very tight on the avail stock for shorting'],-0.406,0
['get into $WFM and $MJN'],0.415,1
['Stochastic Overbought'],-0.516,0
['Bounced off target buy area'],-0.299,0
['oversold'],0.430,1
['double top reject'],-0.341,0
"['Added.', 'Bounce off of', 'for ride to']",0.470,1
['working on Cuba deals'],0.419,1
['Dividend Hike Green Light'],0.316,1
['I am excited about all these plays'],0.322,1
['commodity weakness'],-0.376,0
['$fb small flong 109.25 via calls'],0.352,1
['had a nice breakout of the recent consolidation'],0.452,1
['sells flat..I am out..'],-0.541,0
['Airplane And Hospitality Industries Set Their Sights On #Cuba'],0.405,1
['reserves are in decline'],0.279,1
['this pull back of'],-0.030,0
['Pie In The Sky'],0.365,1
['First quarter is amazing'],0.322,1
['$TFM will have a way to go price wise to compete with Kroger. $KR'],0.129,1
['Sector Stocks Leading Today'],0.454,1
['biggest St50 gainers'],0.452,1
['Bears Take a Clear Near Term Advantage'],-0.501,0
['Will A Onetime Zombie Stock Rise Again?'],0.241,1
"[""today's bull flag""]",0.200,1
['iPhone SE Could Be Doing Better Than Expected'],0.395,1
['Now up to 200 stocks making new 52 week highs'],0.458,1
['Would short $AMZN on any rally'],-0.621,0
['after losing about $1 billion on $VRX?'],-0.643,0
['$CAT +5.10%'],0.586,1
"['The Top 10 brands for #millennials - $AAPL is #1, and $FB is way off the list at #65.']",0.562,1
['looking tasty'],0.310,1
['Sell Short Position on'],0.361,1
['Nice day rally!'],0.529,1
['damn me and low priced stocks'],-0.482,0
['Spy the bubble is in stock buy backs'],-0.268,0
"['SELL signal by $NDX internals', 'technical SELL']",-0.541,0
['Bullshit'],-0.209,0
['$X +2.27%'],0.144,1
['this is what you get'],-0.007,0
"['Another one to add, already happily holding']",0.448,1
['RSI is down at 20'],0.418,1
['$BABA is going to be an interesting one'],0.233,1
[''],0.315,1
"[""Buy the dip'""]",0.380,1
"[""There's no reason why $GOOGL can't get back to $1,000""]",0.288,1
['short'],-0.453,0
