"id","company","title","sentiment score"
"46","Royal Mail","Britain's FTSE advances as Royal Mail rises","0.476"
"47","Haris & Hoole","CompaniesTesco sheds Harris & Hoole coffee shops","0.3"
"48","Standard Chartered PLC","News FeedFTSE 100 movers: Standard Chartered lifted while AstraZeneca sinks","0.509"
"49","Citigroup","Fitch: Citi's 1Q'15 Reports Much Improved Results","0.378"
"50","Hammerson","Landlord Hammerson's NAV rises on increased leasing activity","0.659"
"51","Metro Bank","CompaniesMetro Bank raises Â£400m ahead of London listing","0.296"
"52","Morrisons","New Morrisons duo get former boss's support to diffuse investor tension","0.143"
"53","WPP","WPP Q1 Revenue Rises Over 8% - Quick Facts","0.668"
"54","Barclays","Barclays raises 603 million pounds from African business share sale","0.309"
"55","AXA","REFILE-Aviva Investors to move 34 bln euros in assets from AXA fund arm","-0.398"
"56","Royal Bank of Scotland Group plc","Dividends Unleashed At Royal Bank of Scotland Group plc","0.425"
"57","Standard Chartered PLC","Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears","0.128"
"58","BP","EXCLUSIVE-BP, China's CNPC to unveil oil alliance - sources","0.326"
"59","Royal Bank of Scotland Group plc","RBS and Barclays shares temporarily suspended amid heavily losses","-0.941"
"60","BP","BP sees Q1 earnings slide as low oil prices take their toll","-0.376"
"61","Johnson Matthey","Johnson Matthey revs up on clean air drive","0.224"
"62","Tesco PLC","Tesco boss urges rethink on minimum wage and business rates","0.173"
"63","Tesco PLC","Is It Worth Investing In Tesco PLC And Prudential plc Now?","0.161"
"64","Royal Bank of Scotland Group plc","RBS will reportedly appoint Howard Davies as its next chairman","0.089"
"65","Shell","UPDATE 1-Seattle flotilla protests Shell's Arctic drilling plans","-0.338"
"66","Petrofac","Petrofac books further Â£30m cost for Shetland gas terminal delays","-0.343"
"67","G4S","G4S suspends workers at UK youth centre over allegations of unnecessary force","-0.323"
"68","BAE Systems","TalkTalk hires BAE Systems to investigate cyber attack","0.217"
"69","Lloyds Banking Group PLC","Osborne extends Lloyds sell-off plan","-0.311"
"70","Dairy Crest","UPDATE 1-Dairy Crest loses a third of Morrisons milk contract","-0.902"
"71","Dixons Carphone","CompaniesLord Livingston joins Dixons Carphone","0.364"
"72","Deloitte","Tesco names Deloitte as new auditor after accounting scandal","0.26"
"73","Barclays","World's banks may halve jobs and branches within 10 years - Barclays ex-boss","-0.521"
"74","Severn Trent","Severn Trent share price rises as first half profit inches up as customer ...","0.526"
"75","Clinigen","Clinigen chosen by AstraZeneca to manage access programme for next ...","0.328"
"76","Valeant Pharmaceuticals International","Valeant's Pearson says timing of return uncertain","-0.044"
"77","Aviva plc","Aviva suspends trading in Â£1.8bn UK property fund","-0.78"
"78","Horizonte","Horizonte acquires neighbouring Glencore nickel property in Brazil","0.182"
"79","Johnston Press","Indy future in doubt as Johnston Press lines up deal for 'i'","0.155"
"80","Desano","Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano","0.277"
"81","BHP Billiton","BHP Billiton half-year profit falls, beats forecasts","0.082"
"82","Royal Dutch Shell","Royal Dutch Shell to Buy BG Group for Nearly $70 Billion","0.259"
"83","Barclays","Barclays to speed up cost-cuts after new mis-selling hit","-0.25"
"84","UBI","CEOs of BPM, UBI meet Italy econ minister as M&A talk heats up","0.133"
"85","HSBC","HSBC Hit by Fresh Details of Tax Evasion Claims","-0.594"
"86","BPI","CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure","-0.092"
"87","BPI","BPI Says Caixabank, Isabel dos Santos Reach Agreement Over Angola Exposure","0.221"
"88","Wolseley","Wolseley says Nicholls won't join as finance chief","-0.087"
"89","Royal Mail","UK lawmakers warn Royal Mail against further price hikes","-0.164"
"90","Standard Chartered PLC","StanChart and RBS struggle in Bank of England stress tests","-0.39"
"91","Standard Chartered PLC","StanChart may see white knight takeover on painful recovery - CLSA","-0.155"
"92","AstraZeneca","AstraZeneca suffers setback after drug fails to treat eye cancer","-0.392"
"93","AstraZeneca","News FeedFTSE 100 movers: Standard Chartered lifted while AstraZeneca sinks","-0.666"
"94","Kingfisher","Retail giant Kingfisher reports 'solid' start to the year","0.368"
"95","Unilever","Unilever Continues to Battle Soft Demand","-0.264"
"96","Frensillo Production","Fresnillo Production Surges But Profit Hit By Lower Prices","0.21"
"97","BG","Helge Lund moves to BG a month early","0.05"
"98","Kipa","Tesco set to sell Kipa, Giraffe businesses - Sky News","-0.192"
"99","Royal Bank of Scotland Group plc","RBS warns of higher misconduct charges, obstacles ahead","-0.383"
"100","DBS","DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...","0.307"
"101","Standard Life","Standard Life slips as Greek worries peg back Britain's FTSE","-0.407"
"102","Glencore","Glencore sells agri unit stake for $2.5 billion to Canadian pension fund","0.466"
"103","Royal Bank of Scotland Group plc","FCA bans former RBS Libor submitter","-0.285"
"104","SABMiller","AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval","0.127"
"105","Standard Chartered PLC","Standard Chartered Not Raising Capital Yet As Dividend Cut","-0.158"
"106","Tesco PLC","Tesco set to sell Kipa, Giraffe businesses - Sky News","0.23"
"107","United Utilities","United Utilities FY profit up 3.5%; to boost capex","0.42"
"108","Tesco PLC","Sale of Tesco's Clubcard business to WPP on the verge of collapse","-0.518"
"109","RBS","UK's Osborne may sell state-owned RBS shares at a loss -paper","-0.3"
"110","Tesco PLC","Tesco Sale Is Asia's Biggest Private-Equity Deal","0.378"
"111","Wolseley","Industry NewsWolseley confident in reslilience amid mixed markets","0.287"
"112","Nikkei","Japan's Nikkei lands Financial Times in $1.3 billion deal","0.262"
"113","Royal Mail","UPDATE: Peter Long To Be Chairman Of Both Royal Mail And TUI AG","0"
"114","BAT","UK regulators license BAT e-cigarette as quit-smoking medicine","0.461"
"115","Aviva plc","Aviva, M&G suspend property funds as investors panic","-0.782"
"116","British American Tobacco plc","British American Tobacco drops and sues PwC over pollution scandal","-0.528"
"117","Aberdeen Asset Management","Aberdeen's shares slide as net outflows accelerate","-0.434"
"118","Hikma","REFILE-Hikma and Barclays help Britain's FTSE to climb higher","0.452"
"119","Britvic","Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit","-0.13"
"120","Standard Chartered PLC","Standard Chartered share price: Aberdeen CEO would back potential capital increase","0.167"
"121","Severn Trent","Severn Trent share price jumps as Canadian investor renews pursuit of utility","0.433"
"122","London Stock Exchange Group","France raises concerns over proposed LSE-Deutsche Boerse deal","-0.347"
"123","Brunzl","Bunzl blames weakness in United States for first-half revenue slowdown","-0.335"
"124","Tesco PLC","Tesco criticised for 'disgraceful' advert showing domestic worker being slapped","-0.498"
"125","Barclays","Tushar Morzaria is bookies' favourite to be new Barclays chief executive","0"
"126","G4S","CompaniesG4S claims 'positive' start to the year","0.303"
"127","Halliburton","UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean","-0.042"
"128","BAE Systems","Shares in BAE Systems hit 10-month high on rating upgrade","0.905"
"129","Alior Bank","GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank","0.233"
"130","Shell","Royal Dutch Shell plc: Shell Updates on Alaska Exploration","0"
"131","Diageo","City spirits sink after Diageo comes up short with sales slide","-0.521"
"132","Tesco PLC","Tesco sales recover as focus returns to core business","0.35"
"133","London Stock Exchange Group","London Stock Exchange unit in talks to operate Plato venue","0.144"
"134","IBM","ARM Holdings plc Partners With International Business Machines Corp. To Drive ...","0.345"
"135","GSK","GSK joins China trade push as UK trumpets healthcare deals","0.294"
"136","Barclays","Goldman Sachs, Barclays, HSBC downplay Brexit threat","0"
"137","HSBC","HSBC marks muted 150th birthday party with grain of rice sculptures","0"
"138","Barclays","Barclays appoints JPMorgan's Paul Compton as new COO","0.036"
"139","Standard Chartered PLC","Standard Chartered Shares Jump Most Since '12 After Upgrades","0.989"
"140","Shell","Italy Probes Shell's Role in Purchase of Nigerian Oil Block","-0.231"
"141","Shropshire","Shropshire and Mid Wales trains to be hit again in new strike by Arriva drivers","-0.4"
"142","Aviva plc","Friends Life lifts profits 38% and hikes divi ahead of proposed Aviva takeover","0.138"
"143","Randgold Resources","Randgold profit hit by poor gold price but dividend still increases","-0.052"
"144","AstraZeneca","AstraZeneca does US$770mln anaesthetic deal","0.365"
"145","AB InBev","AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval","-0.369"
"146","ITV","ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...","0.611"
"147","Diageo","Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group","0.182"
"148","Pearson","Pearson to cut 4000 jobs as it warns on profits","-0.664"
"149","Takeda","FDA panel backs safety updates for AstraZeneca, Takeda drugs","-0.198"
"150","London Stock Exchange Group","LSE-Deutsche Boerse merger would signal end to exchange mega-deals","0.105"
"151","Intertek Group","Intertek Hit By Pound Strength, Oil & Gas Slowdown; Still Ups Dividend","-0.391"
"152","Tesco PLC","Tesco says recovery plan working after profit collapse","0.213"
"153","BP","Kinder Morgan and BP Form Joint Venture Limited Liability Company to Purchase ...","0.208"
"154","Shell","Shell and BG Shareholders to Vote on Deal at End of January","0"
"155","Starwood","Intercontinental Hotels, Starwood held early deal talks - FT","0.145"
"156","Berkshire Hathaway","Warren Buffett's Berkshire Hathaway buys stake in Apple","0.481"
"157","Baxalta","Sunday Papers: Shire told to raise its offer by Baxalta investors","0.343"
"158","Barratt","Britain's FTSE bounces back, Mondi and Barratt lead","0.558"
"159","Glencore","Glencore slashes 2015 capex budget as annual profits slip 2%","-0.37"
"160","AB InBev","Anheuser-Busch InBev Increases Offer for Rival SABMiller","0.123"
"161","Home Retail Group","Sainsbury CFO Rogers to Replace Home Retail CEO Walden","0"
"162","Barclays","UPDATE 2-Exchanges, Barclays win dismissal of US high-frequency trading case","0.212"
"163","Barclays","MarketsUS industrials lag as Barclays dims view","-0.34"
"164","RSA Insurance","Zurich Insurance Considering Offer for UK Rival RSA Insurance","0.376"
"165","Mylan","US DOJ antitrust unit subpoenas Mylan over pricing of doxycycline","-0.86"
"166","AstraZeneca","AstraZeneca sells US gout drug rights to Ironwood for up to $265 million","0.335"
"167","Shell","Shell, Chevron Await LNG's Return From `Pause Mode'","0.057"
"168","London Stock Exchange Group","Companies raise less money on London Stock Exchange in 2015","-0.199"
"169","BG Group","Shell and BG Shareholders to Vote on Deal at End of January","0"
"170","Glencore","Glencore shares rally after miner hits back","0.407"
"171","ABN Amro","ABN Amro: Bank that brought down RBS poised for return to the market","0.353"
"172","AT&T","Verizon and AT&T accused of hurting rivals","-0.447"
"173","ARM Holdings plc","ARM swings to profit in fourth quarter","0.549"
"174","Johnson Matthey","Johnson Matthey profit falls but dividend rises","0"
"175","Auto Trader","Auto Trader share price surges as company floats on LSE","0.655"
"176","Hillshire Farms","ConAgra Names Former Hillshire Farms CEO Connolly to Top Post","0.1"
"177","Hargreaves Lansdown","Hargreaves Landown slides on trading update","-0.464"
"178","Asda","Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...","-0.226"
"179","WPP","WPP, World's Largest Ad Agency, Reports Strong 2015 Growth","0.555"
"180","BG Group","Shell Targets Gains From Brazil to LNG With Takeover of BG Group","0.566"
"181","Barclays","Four former Barclays bankers jailed over Libor","-0.84"
"182","Tesco","Tesco Cut to Junk at Moody's on Concern Revival to Take Time","-0.623"
"183","Glencore","LPC-Glencore launches refinancing of $8.45billion loan","0.193"
"184","Ashtead","London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls","0.514"
"185","EasyJet","Easyjet targets business travellers with new perks","0.147"
"186","BP","BP joins forces with Det Norske in Norway","0.24"
"187","Baxalta","Shire proposes $30 bln all-share tie-up with Baxalta","0.269"
"188","Tesco PLC","Tesco sales rise shows tentative recovery continues","0.256"
"189","Valeant Pharmaceuticals International","Valeant Names Interim Leader as CEO Remains Hospitalized","0"
"190","AstraZeneca","AstraZeneca weighing up Acerta bid to secure blood cancer drug","0.284"
"191","BP","BP asks for lower fine in penalty phase of Gulf spill trial","-0.16"
"192","Shire","MarketsShire up 2.5% and Baxalta up 6% on $32bn deal","0.487"
"193","Berkshire Hathaway Inc.","Warren Buffett's Awesome Feat at Berkshire Hathaway, Revisited","0.156"
"194","Lloyds Banking Group PLC","Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs","0.292"
"195","SSE","SSE cuts gas prices by 4.1% to become fifth of 'Big Six' providers to slash energy ...","-0.173"
"196","Rolls-Royce","Silicon Fen' champion brings exacting approach to Rolls-Royce","0.099"
"197","Tesco PLC","Tesco Said to Discuss Central and Eastern European Unit Sale","0.364"
"198","Glencore","Glencore launches refinancing of credit line","0.199"
"199","Apple","Should You Follow Berkshire Hathaway Into Apple Stock?","0.023"
"200","Friends Life","UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers","0.516"
"201","Shire","FDA approves Shire's Vyvanse for binge-eating disorder","0.291"
"202","Entertainment One","Entertainment One dispels ITV takeover rumours","0.138"
"203","Tesco PLC","Despite sales growth, UK's Tesco cautions recovery to be bumpy","-0.077"
"204","BG","Oil Giant Shell to Cut Around 2800 Jobs Amid BG Takeover","-0.564"
"205","BAE Systems","BAE Systems banks on US defence spending to fix sales slide","-0.069"
"206","National Grid","UK Christmas power demand to be lowest in 16 years â€“ National Grid","-0.334"
"207","Compass Group","CompaniesCompass serves up half year profit rise","0.426"
"208","Hargreaves Lansdown","UK MORNING BRIEFING: Sky And Hargreaves Lansdown Bookend FTSE 100","-0.15"
"209","InterContinental Hotels Group","InterContinental Hotels Group share price climbs on $1.5bn special dividend","0.631"
"210","AstraZeneca","AstraZeneca in Talks to Buy Cancer Drug Developer Acerta Pharma","0.21"
"211","Amazon","Amazon to attack UK grocery market with Morrisons deal","0.349"
"212","Tesco PLC","Tesco made a bit of a crucial error in this promotion for Ramadan...","-0.265"
"213","Weir Group","Falling oil prices hurt Hunting, Weir Group","-0.553"
"214","Shire","Morning Agenda: Shire's Deal for NPS","0.195"
"215","AstraZeneca","AstraZeneca wins FDA approval for key new lung cancer pill","0.549"
"216","Lloyds","FCA set to fine Lloyds record Â£100m over PPI","-0.84"
"217","Barclays","Barclays's Next CEO Should Be Investment Banker, Aberdeen Says","0.1"
"218","Barclays","RBS and Barclays shares temporarily suspended amid heavily losses","-0.971"
"219","Shire","Shire to buy NPS for $5.2 billion to boost rare disease drugs","0.235"
"220","Tesco PLC","Tesco's boardroom clearout continues","-0.168"
"221","BHP Billiton","BHP Billiton says no settlement yet on Brazil dam disaster","-0.2"
"222","ARM Holdings plc","Arm buoyed by race to build the internet of things","0.352"
"223","AstraZeneca","AstraZeneca diabetes drug combination faces delay after FDA rebuff","-0.391"
"224","Morrisons","Amazon's grocery deal with Morrisons is only the beginning","0.389"
"225","BAE Systems","BAE Systems's sales boosted by European Typhoon and currencies","0.39"
"226","Aberdeen Asset Management","CompaniesAberdeen Asset Mgt reports 10th consecutive quarterly outflows","-0.612"
"227","JP Morgan","Barclays CEO poaches risk head from JP Morgan","-0.1"
"228","BP","BP signs $12 billion energy deal in Egypt","0.48"
"229","Baxalta","Shire says internal synergy goals from Baxalta deal higher","0.23"
"230","Essence Digital","WPP wins race for 'programmatic buying' agency Essence Digital","0.299"
"231","Baxalta","Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit","0.75"
"232","AstraZeneca","AstraZeneca investment eats into profit","-0.064"
"233","Inovio","AstraZeneca bags another cancer drug deal, this time with Inovio","0.316"
"234","Centrica PLC","CompaniesCentrica shares drop 7% amid capital raise","-0.429"
"235","Rio Tinto","Miners Meltdown as BHP to Rio Tinto Sink in Commodities Rout","-0.665"
"236","Tullow Oil","UPDATE 1-Britain's Tullow says makes new oil find in Kenya","0.402"
"237","National Grid","Britain's power supplies enough to meet winter demand - National Grid","0.279"
"238","Lloyds Banking Group PLC","Barclays PLC & Lloyds Banking Group PLC Are The 2 Banks I'd Buy Today","0.434"
"239","Berkshire Hathaway Inc.","UPDATE 3-Buffett's Berkshire raises oil bet with Kinder Morgan stake","0.189"
"240","EasyJet","UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February","0.315"
"241","Barclays","PRESS: US High-Frequency Lawsuit Against Barclays Dismissed - Reuters","0.231"
"242","Shell","Shell CEO van Beurden's remuneration fell in 2015","-0.1"
"243","Aberdeen Asset Management","Aberdeen AM posts H1 outflows, says conditions to remain challenging","-0.364"
"244","Kraft Heinz","Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit","-0.179"
"245","Shell","Shell seeks to remove Greenpeace activists from oil rig","-0.035"
"246","BP","UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean","-0.121"
"247","Pearson","Pearson Forecasts Rising Earnings as Reorganization Pays Off","0.386"
"248","Morrisons","Morrisons faces festive sales test","-0.113"
"249","Friends Life","Aviva shuts Friends Life head office in rapid integration move","-0.09"
"250","Tesco","Tesco to pay Â£8m to settle class-action lawsuit after accounting scandal","-0.323"
"251","Lehman","UPDATE 3-Stifel to buy former Lehman brokerage from Barclays","0.164"
"252","Royal Mail","CompaniesRoyal Mail stake sale delivers Â£750m for taxpayer","-0.109"
"253","ICE","NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger","0.056"
"254","CaixaBank","Spain's Caixabank launches new takeover bid for Banco BPI","0.185"
"255","Aviva plc","Former Aviva Investors analyst Mothahir Miah banned and fined Â£139000 by FCA ...","-0.373"
"256","ARM Holdings plc","ARM shrugs off smartphone slowdown as newer designs win share","0.178"
"257","Petrofac","UPDATE 1-Petrofac posts net loss hurt by Shetland Islands project costs","-0.446"
"258","Kingfisher","Do it for me' trend underpins UK sales growth at Kingfisher","0.304"
"259","RBS","RBS invites pitches for broker role ahead of privatisation - sources","0.2"
"260","Bunzl","Bunzl delivers small profit increase for 2014","0.247"
"261","AB InBev","AB InBev Holds Talks With Regulators About California Deals","-0.018"
"262","Worldpay","CompaniesMorrison evicted from FTSE 100 as Worldpay joins","-0.452"
"263","Barclays","Barclays denies deferred prosecution offer from SFO","-0.196"
"264","Kingfisher","LONDON MIDDAY BRIEFING: Kingfisher's French Expansion Hits The Rocks","-0.377"
"265","Serco","PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT","0.122"
"266","Tesco PLC","Tesco chief excutive Dave Lewis sees 'encouraging signs' despite profits tumble","0.211"
"267","EasyJet","EasyJet ""Sneakairs"": Airline is testing smart shoes to help customers explore destinations","0.188"
"268","Coca-Cola FEMSA","The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever","0.293"
"269","SSE","SSE faces profiteering accusations despite 5.3% cut in gas charges","-0.31"
"270","Royal Bank of Scotland Group plc","CompaniesRBS pulls a surprise: a 27% jump in profits","0.643"
"271","Chevron","Shell, Chevron Await LNG's Return From `Pause Mode'","0.067"
"272","Barclays","Barclays settles with US investors over Libor manipulation","0.285"
"273","Tesco PLC","Tesco says recovery on track, asks investors to be patient","0.19"
"274","Dunelm Group plc","Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?","0.14"
"275","Royal Bank of Scotland Group plc","UPDATE 1-Nomura, RBS must pay $806 mln in mortgage bond case-US judge","-0.69"
"276","National Grid","National Grid profit up 15%; gas sale on track","0.368"
"277","AstraZeneca","AstraZeneca chases Acerta to secure next cancer drug winner","0.519"
"278","Prudential","Prudential capital ratio beats forecasts, confirms UK head","0.337"
"279","Prudential Financial","CompaniesEx-City watchdog Turner joins Prudential board","0"
"280","Statoil","Militants fire rockets at Algerian BP/Statoil gas plant, no casualties","-0.444"
"281","Shell","BG Group Still Happy With Shell's $70 Billion Offer","0.235"
"282","AstraZeneca","CompaniesAstraZeneca wins nod for 'blockbuster' hopeful","0.499"
"283","Shell","Shell to Lay Off Another 2200 Staff","-0.222"
"284","Carnival Corporation","Carnival Corporation and China Merchants Group Sign Memo of Understanding ...","0.099"
"285","Diageo","CompaniesDiageo stays neutral on India boardroom turmoil","0"
"286","Tesco","Tesco to 'axe 10000 jobs' in 'simplification' drive to cut costs by 30 per cent","0.2"
"287","Barclays","Barclays poised to replace Sir Mike Rake as he heads for exit","0.077"
"288","Tesco","Tesco bans sugary drinks in â€œchildhood obesity driveâ€퀀","0.02"
"289","Tata Steel","Tata Steel working with StanChart for UK unit sale - source","0.143"
"290","Sainsbury's","Sainsbury's share price: Grocer launches click-and-collect","0.021"
"291","AO World","AO World shares tumble on profit warning","-0.815"
"292","Shell","Shell Targets Gains From Brazil to LNG With Takeover of BG Group","0.148"
"293","Glencore","Glencore tells investors it is on track to reduce debt: Barclays","0.278"
"294","Whitbread","Whitbread boss Andy Harrison defends sales fall as 'just a blip'","-0.1"
"295","Severn Trent","Borealis Infrastructure putting together new Severn Trent bid","0.214"
"296","Perrigo","AstraZeneca sells US drug rights to Perrigo for $380 mln","0.326"
"297","Aggreko","Aggreko 2015 Profit Declines - Quick Facts","-0.441"
"298","Pearson","Pearson lags as UK's FTSE slips off record high","-0.372"
"299","RBS","RBS hands Â£3.3m of shares to top staff","0.12"
"300","Glencore","Glencore sells agriculture stake for $2.5bn","0.423"
"301","Barclays","Barclays says has spent $150 million on US 'living will'","-0.075"
"302","Royal Bank of Scotland Group plc","RBS share price: Group plans to slash 600 jobs","-0.457"
"303","Lafarge Holcim","TRLPC - CRH backs Lafarge Holcim asset buy with 6.5 bln euro bridge loan","0.365"
"304","Barclays","Eurozone bank lending continues to recover, slowly, Barclays says","0.35"
"305","Royal Bank of Scotland Group plc","RBS breaks with past by tearing investment bank apart","-0.05"
"306","Aberdeen Asset Management","Aberdeen Asset Management Gains Foothold In China","0.357"
"307","BP","BP to pay investors $175m over Gulf spill claims","-0.637"
"308","Persimmon","Persimmon sees post-election pick-up","0.253"
"309","Sainsbury's","Fewer multi-buys hurt Sainsbury's market share","-0.351"
"310","SABMiller","Australia clears AB Inbev's $100 billion SABMiller buyout plan","0.437"
"311","Tailor Wimpey","London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls","0.508"
"312","AstraZeneca","AstraZeneca profit down as sales of stalwarts fade","-0.405"
"313","Tesco PLC","Tesco Mobile Partners with Unlockd to Change the Way Consumers Use and Pay for Their Mobile Phones","0.439"
"314","Associated British Foods","Associated British Foods helps FTSE to rebound","0.366"
"315","Shell","Why Shell Cut Ties to Conservative Lobby Group Over Climate Change","0"
"316","Thermo Scientific","Johnson Matthey sells research chemicals unit to Thermo Scientific","0.286"
"317","Tesco","Tesco rebounds as buyers sense a bargain","0.546"
"318","Valeant Pharmaceuticals International","Valeant CEO Returns From Leave, Company Withdraws Guidance","0.001"
"319","AstraZeneca","AstraZeneca shares climb 3% as drug maker ups profits forecasts","0.64"
"320","EasyJet","FastJet slams EasyJet founder Stelios for going public, is ""taking legal advice"" over letter about contractual ...","-0.238"
"321","Tesco PLC","Failure of leadership' behind Tesco troubles, says former CEO Leahy","-0.279"
"322","British American Tobacco plc","British American Tobacco says would fight UK 'plain packaging' law","-0.116"
"323","JV Partner","Hammerson, JV Partner secure ownership of Ireland's Dundrum - Quick Facts","0.427"
"324","SABMiller","Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale","0.329"
"325","ASOS plc","Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?","0"
"326","Persimmon","Persimmon reports strong trading despite EU vote and planning delays","0.359"
"327","ICE","NYSE owner ICE considers offer for LSE","0.096"
"328","AstraZeneca","CompaniesSanofi poaches immunology expert from AstraZeneca","-0.085"
"329","Mylan","Mylan Appoints Ranjan Ray Chaudhuri as Global Commercial Lead for Mylan's Over ...","0"
"330","BP","BP ends 27-year sponsorship of Tate as falling oil price takes toll","-0.293"
"331","Shell","Royal Dutch Shell pulls plug on Arctic exploration","-0.38"
"332","Glencore","Horizonte acquires neighbouring Glencore nickel property in Brazil","0.258"
"333","Standard Chartered PLC","Standard Chartered, RBS Escape Capital Raising in Stress Test","0.321"
"334","AstraZeneca","FDA approves AstraZeneca drug for advanced lung cancer","0.507"
"335","Barclays","Barclays poaches new chief operating officer Paul Compton from JP Morgan Chase","0.105"
"336","Severn Trent","Water utility Severn Trent ups savings forecast, FY profit falls","0.177"
