source,cashtag,sentiment score,id,spans,spans__002,spans__003,spans__004,spans__005
"stocktwits","$FB","0.645","15261933","Big Money Is Pouring Into Facebook From All Directions","","","",""
"twitter","$AAPL","-0.379","709458685173563392","placed an order to sell 5 shares","","","",""
"twitter","$FB","0.302","719940341294571520","go $FB go","","","",""
"stocktwits","$BIDU","-0.221","6789490","Out $BIDU for now","","","",""
"twitter","$AL","-0.464","709779449663721472","Short Setups Looking Nice....Really Nice","","","",""
"stocktwits","$MAR","0.407","6069381","Defying the Downturn","","","",""
"stocktwits","$PSDV","-0.291","19158924","but man this is one to be careful with","","","",""
"twitter","$PCAR","-0.463","719520125582503936","downgrade","","","",""
"twitter","$TSLA","-0.618","719883838059446272","Short $TSLA calls","","","",""
"twitter","$ENDP","0.215","719631931214839808","Was looking for a long entry but today's price action wasn't appealing","","","",""
"stocktwits","$NG","0.165","30667508","just follow the trend, follow the money flow","","","",""
"stocktwits","$DANG","0.224","7569377","tapping on 10.00","","","",""
"stocktwits","$GTAT","-0.460","26890071","Will re-enter short on bounce..","","","",""
"stocktwits","$XRS","0.448","28165236","Found some good bull setups this week","","","",""
"stocktwits","$RIMM","-0.559","11781180","all going down","","","",""
"stocktwits","$UVXY","-0.131","30161946","so volatile!","","","",""
"stocktwits","$MNKD","0.328","27914585","sold my 81 calls","","","",""
"twitter","$LVS","0.344","719682732712968192","I'm watching(and buy targets)","","","",""
"twitter","$CTRP","0.366","710244676826169344","beats the Estimize EPS Consensus by 6c and the Estimize Revenue Consensus by","","","",""
"stocktwits","$HOV","-0.160","27488462","Short Percent of Float 16.80%","","","",""
"stocktwits","$FB","-0.373","16345651","","","","",""
"stocktwits","$FXP","0.500","5588045","Add to $FXP $SKF positions","","","",""
"twitter","$TWTR","0.488","709389876295110656","long","","","",""
"twitter","$BABA","-0.473","719699054645612544","Bottom Losses","","","",""
"stocktwits","$C","-0.221","21048631","ure wish bad news came out just a few days earlier","","","",""
"twitter","$GOOG","0.000","708396324710785024","","","","",""
"twitter","$WMT","0.382","719609967565803520","$WMT, 13%","","","",""
"stocktwits","$SHLD","0.274","19905012","added","increase of 16.7%","","",""
"stocktwits","$SPY","-0.159","8559122","mkt fell on debt downgrade","due to slow growth","","",""
"stocktwits","$FCX","0.339","5514207","$FCX +3.53%","","","",""
"stocktwits","$BWLD","-0.136","7957239","been very frustrating","green bar gets followed immediately by 1-3 weeks of consolidation","","",""
"twitter","$ULTA","-0.264","719600292204048384","Thanks for the short","","","",""
"stocktwits","$NEON","0.132","38272763","need to break $4 again","","","",""
"twitter","$AAPL","0.449","710232348738985984","Fed cuts rates forecast","Our calls go 100%","","",""
"stocktwits","$AFSI","-0.516","39047349","Stochastic Overbought","","","",""
"stocktwits","$RDEN","0.000","6213661","Very tight price","","","",""
"twitter","$SRPT","0.406","710594321481801728","#oversold","","","",""
"twitter","$FB","0.417","711251272322527232","a great step for #China to let $FB in","","","",""
"stocktwits","$SWKS","-0.339","27109636","new squeeze plays","","","",""
"stocktwits","$CRM","-0.344","29352447","$CRM Seems a little to high also","","","",""
"twitter","$ADBE","0.365","719849703106551808","Pie In The Sky","","","",""
"stocktwits","$RTN","0.498","29695868","Moved Upper Bollinger Band","","","",""
"twitter","$STLD","0.348","719614954500857856","Highest call to put ratio","","","",""
"twitter","$YHOO","0.409","719572301356916736","offers will take place until next week","","","",""
"stocktwits","$AMRN","-0.540","12644313","Currently it is the shorts rejoicing","","","",""
"stocktwits","$KEP","0.413","25333030","breaking out when the market pulls back","","","",""
"twitter","$AAL","0.092","709745040826966016","airlines battle for Cuba routes $AAL $LUV $SAVE $JBLU","","","",""
"stocktwits","$IMUC","0.380","22409313","Buy the dip'","","","",""
"twitter","$MDXG","-0.361","719507659741872128","$MDXG"," lower.","","",""
"stocktwits","$FB","0.158","35257107","BlackBerry Messenger is second only to Facebook in user loyalty","","","",""
"twitter","$ISRG","0.407","709715397608660992","Headed to all time highs","","","",""
"twitter","$PYPL","-0.348","719533349430300672","Your shit is broke","","","",""
"twitter","$TSLA","0.458","719549134114549760","buy","","","",""
"twitter","$AMZN","-0.229","719628059280818176","Weak open and it goes r/g within first 30 mins","","","",""
"stocktwits","$BOBE","-0.512","29835869","down $2.84 premarket","","","",""
"twitter","$MDLZ","-0.428","710236272896430080","Guess who sold off about $800 million in $MDLZ","","","",""
"stocktwits","$NUGT","0.511","39047253","Buying on Weakness","","","",""
"twitter","$MAR","0.322","719597174946992128","Shareholders welcome Marriott-Starwood deal","","","",""
"twitter","$AAPL","0.339","719504049087717376","peachy prospects","","","",""
"twitter","$AXP","-0.513","719489192078610432","Another Sell Rating, Sell Rating","","","",""
"twitter","$GOOGL","0.529","719535506980265984","Nice day rally!","","","",""
"twitter","$MCD","0.529","719535506980265984","Nice day rally!","","","",""
"stocktwits","$SFUN","0.274","32427089","Quality Stocks With High Cash Returns","","","",""
"stocktwits","$CREE","0.054","13028004","LED light bulb prices rise in Japan","","","",""
"twitter","$NFLX","0.466","719593062406598656","Closed Buy","","","",""
"stocktwits","$AAPL","-0.310","7830634","highest down volume in last 10 days","","","",""
"twitter","$GILD","0.285","719558697362411520","With $IBB back over support","","","",""
"twitter","$AMZN","0.484","719529083915407360","long into earnings","looks good over 600","","",""
"twitter","$YHOO","0.288","719579663258021888","considering Yahoo bid","up 2,05%","","",""
"stocktwits","$QQQ","-0.146","6908313","After weeks of steady gains,advances in mkt breadth slowe","","","",""
"stocktwits","$CELG","0.386","5389922","I will buy aggressively if pulls back","","","",""
"twitter","$XOM","0.529","719535506980265984","Nice day rally!","","","",""
"stocktwits","$AMRN","-0.373","14646229","gets 26 patents and goes down","","","",""
"stocktwits","$GDX","0.511","39047253","Buying on Weakness","","","",""
"stocktwits","$LEDS","0.054","13028004","LED light bulb prices rise in Japan","","","",""
"stocktwits","$LCI","0.203","31112742","is a later riser,","Positive catalyst?","","",""
"stocktwits","$NQ","0.316","28243743","Could that have been a strategy to exit shorts before the big pop?","","","",""
"twitter","$SYMC","0.525","711905971312807936","Piper upgrades Symantec on improving renewal rates and enterprise growth","","","",""
"stocktwits","$SCTY","0.304","22758333","Look for strong solar rebound today!","","","",""
"twitter","$NFLX","-0.308","708407232690462720","I think the DNF crew can get this $NFLX short into the next 30 days heading into earnings","","","",""
"twitter","$AAPL","-0.500","719890047135281152","red $AAPL dragging down $QQQ","","","",""
"twitter","$INTC","-0.236","719661137411747840","cuts outlook down","","","",""
"twitter","$DISH","-0.410","711909827648299008","weakness continues again.","","","",""
"twitter","$XRT","0.342","719551394798268416","Watchlist Top Stocks","","","",""
"stocktwits","$SPY","0.428","10462838","Long","","","",""
"twitter","$YHOO","0.228","719518460284432384","joint bid for Yahoo's internet assets","","","",""
"stocktwits","$ARNA","0.272","13877899","patience pays off","","","",""
"twitter","$YHOO","-0.331","719619301754273792","Bad governance","not confident in core biz","","",""
"twitter","$JD","-0.756","719699054645612544","Bottom Losses","","","",""
"stocktwits","$SKS","0.315","8582567","sales numbers still holding up so well","igh end might not be a concern after all.","","",""
"stocktwits","$SPY","-0.054","21825008","I just feel the people who are buying are the same ones with their finger on the sell button","","","",""
"stocktwits","$AAPL","0.226","9878433","gap filled","","","",""
"stocktwits","$BUND","-0.331","5901252","debt crisis entered a dangerous new phase","","","",""
"stocktwits","$TYC","0.469","12044101","just about to break out to new highs","lots of technicals looking great right now","","",""
"stocktwits","$BBBY","0.201","9694450","next resist is 64.40's","","","",""
"twitter","$FB","0.000","709471541038342144","","","","",""
"stocktwits","$GILD","-0.191","12431690","looks really toppy right here.","","","",""
"stocktwits","$BIOC","0.555","39048523","this will pop after the holiday","","","",""
"stocktwits","$HPQ","-0.397","37281790","Breakup Will Cost Billions","","","",""
"twitter","$TWTR","0.364","719569972574470144","News breaks first and fastest on Twitter $TWTR","","","",""
"twitter","$VZ","-0.296","709741154393133056","overbought","","","",""
"stocktwits","$LUV","0.375","33922154","Continues to consolidate above previous break out area.","","","",""
"stocktwits","$IBB","0.281","6783339","Good to load up Be confident","","","",""
"stocktwits","$PAAS","0.394","5704829","Long","look like a 5-10% run awaits","","",""
"twitter","$AAPL","0.095","719536774821867520","Buy Call!","","","",""
"stocktwits","$SFLY","-0.329","5806487","companies shld be worried about iCloud","","","",""
"stocktwits","$SPY","0.028","7604860","$SPY -0.05%","","","",""
"stocktwits","$AGQ","0.302","11204903","but decent supt here-expect some upside","","","",""
"twitter","$BDMS","-0.370","719514330182459392","Monday sold","","","",""
"twitter","$TFM","0.361","709330857732018176","Sector has been taking a beating recently, could be positive here","will catch a bid today","","",""
"twitter","$AAPL","0.561","719878087190523904","At 11x earnings, $AAPL is a steal","","","",""
"stocktwits","$MCD","-0.474","7156920","Multi Top on $MCD"," chart finally leads to a fall in price","Stability is questioned in the stock but coming weeks will tell","",""
"stocktwits","$NUGT","0.243","29932186","US Adds 321K Jobs In November","Unemployment Rate Remains At ","Gold Futures off","",""
"twitter","$FB","-0.304","719528324616159232","Why is $FB falling?","","","",""
"twitter","$TSLA","0.396","709418142645137408","calls for nice gains","Still holding","Week made in a morning","",""
"twitter","$NVDA","0.444","710186737654321152","someone bought lots of calls MON","","","",""
"stocktwits","$GSK","0.120","9982140","moving up again","","","",""
"stocktwits","$EA","0.048","8980267","$EA points to the two Facebook games","","","",""
"stocktwits","$LEE","0.298","6521056","ready to exit bankruptcy","","","",""
"stocktwits","$VXX","0.280","6192243","starting to creep up","","","",""
"stocktwits","$ABT","0.360","34063135","looks like BO coming","","","",""
"stocktwits","$AAPL","0.151","9544472","2m this year would be amazing","","","",""
"stocktwits","$SGMS","0.498","29695868","Moved Upper Bollinger Band","","","",""
"twitter","$GOGO","-0.318","711745824884187136","$GOGO short","","","",""
"twitter","$GOOGL","-0.319","709840317701165057","EU getting closer to charging Google over Android","","","",""
"twitter","$MRW","0.346","719563779378438144","Supermarket Stocks Rally as Tesco Plans to Axe Non-core UK Assets","","","",""
"stocktwits","$QUNR","0.452","19639364","China winners","","","",""
"stocktwits","$CYTX","0.363","35260630","looks like an ascending channel","","","",""
"stocktwits","$SPY","0.000","5918384","patience on the buy precedes patience on the sell","","","",""
"twitter","$ERX","0.666","710211237058093056","Oil To Break Out","Adding Chevron","","",""
"stocktwits","$APP","0.226","24386175","brand name is to big for it to fail"," I bet they recover or get bought out before the year is over","","",""
"twitter","$AAL","0.426","710965451677827073","Top #NetPayoutYields","","","",""
"stocktwits","$AMZN","0.628","9969988","Long $AMZN Oct $240 Calls","","","",""
"twitter","$AGN","0.014","719913633858211840","under pressure along with the market","","","",""
"stocktwits","$SRPT","0.272","13877899","patience pays off","","","",""
"stocktwits","$INO","-0.347","23569140","stock splits are lipstick on a pig!","","","",""
"stocktwits","$UTY","0.530","5509476","making new highs for the year","","","",""
"stocktwits","$NUAN","0.695","34273656","held up well after the big gains!","still very undervalued and has major upside","","",""
"stocktwits","$DG","0.000","16373691","wait and see before taking any action","","","",""
"stocktwits","$XLF","-0.443","6139459","Markets Are Still Acting Weak","","","",""
"stocktwits","$RYL","-0.397","36124809","breaking below support","","","",""
"twitter","$GOOGL","-0.344","719614857704640512","sold 20% of our concentrated stake","","","",""
"stocktwits","$GDX","0.280","8820362","want to go this morning","it's about time looking at the chart","","",""
"twitter","$SHORT","-0.511","719519136318169088","cracking lower early","$short","#correction","",""
"twitter","$FB","-0.527","719540388055220224","$FB & $IBB down","","","",""
"twitter","$AA","0.243","719599977480253440","Higher In Afternoon Trade","Buy Point","","",""
"twitter","$IBM","0.666","710211237058093056","Oil To Break Out","Adding Chevron","","",""
"stocktwits","$SSO","0.626","39024678","added $SSO 64.33","","","",""
"twitter","$FB","0.509","709408054777749505","$FB $112 Calls .55 entry","","","",""
"stocktwits","$TIF","-0.250","5884846","Is Tiffany's overvalued","","","",""
"twitter","$AAPL","0.722","719529794262708224","$INTC & $AAPL strong","tech leads DOW higher","","",""
"stocktwits","$IDCC","0.477","5693883","after crunching #'s","diamond in the rough","","",""
"twitter","$BAP","0.556","719720776027353088","Biggest gainers today large caps","","","",""
"twitter","$AAPL","0.379","719707515148050432","$AAPL a new long IF 110.61 is broke","","","",""
"twitter","$GILD","0.422","719549571924422656","added to our $GILD position","started a new one in $BWLD","","",""
"stocktwits","$DSKY","0.226","31143613","Largest Online Gaming Market","","","",""
"stocktwits","$CHK","-0.541","5699115","","","","",""
"twitter","$MS","-0.659","719699054645612544","Bottom Losses","","","",""
"stocktwits","$WNR","-0.413","5879099","stopped out even from yesterdays entry","","","",""
"stocktwits","$MU","-0.596","33087415","Micron Shares Pounded On Fears Of Loss Of Business From Apple","","","",""
"twitter","$TSLA","0.466","719593062406598656","Closed Buy","","","",""
"twitter","$FB","0.337","719533807897047040","over 225 million new Internet users are being added globally every year","","","",""
"stocktwits","$UVXY","0.265","12018290","$UVXY broke 10.00 amazing!!!","not the 1st time","won't be the last","",""
"stocktwits","$AAPL","0.438","6751172","Long LEAPS","","","",""
"stocktwits","$DGAZ","0.331","29835080","Looks like that support line around 24.90 held","t can close green it could start seeing some pstv momentum,","","",""
"stocktwits","$SPY","-0.488","5499580","retreats like clockwork","","","",""
"twitter","$AAPL","0.000","719612962013634560","","","","",""
"stocktwits","$JPM","-0.763","16142438","its time to sell banks","","","",""
"twitter","$TSLA","0.610","709286017027563520","upgrades to outperform","ifts price target","","",""
"twitter","$WY","0.336","711907079296933888","Unusual call buying","","","",""
"stocktwits","$BA","0.192","10042291","holding strong","","","",""
"stocktwits","$GMED","0.461","20655340","Three of my hot stocks today","","","",""
"twitter","$CSX","0.323","719719304921350144","Bulls Are Out","","","",""
"twitter","$AMZN","0.271","709930645493919745","patents system","","","",""
"twitter","$TNA","0.271","710822084579086336","Markets Back in Black for 2016","","","",""
"twitter","$TSLA","-0.545","711707719674273792","The losers buying $TSLA at these levels","","","",""
"twitter","$PCLN","0.554","709398139195641856","adding $expe and $pcln to the mix soon","I already have $CTRP and $trip","","",""
"twitter","$HTZ","-0.317","719652260322476032","Today's losers","","","",""
"twitter","$TSLA","-0.126","719583306640191488","not feel terribly good","","","",""
"twitter","$SPY","0.228","709787692263940098","$SPY up only 0.6%","Still holding","","",""
"twitter","$HA","0.638","719904304207962112","record number of passengers served in 2015","","","",""
"stocktwits","$TNH","0.415","33542411","While we think $TNH is a winner","we are ringing the register","","",""
"stocktwits","$BRCM","0.694","5988258","reiterated 'Outperform' rating","","","",""
"stocktwits","$DAL","0.262","26057981","airplanes are still flying","","","",""
"twitter","$MTD","0.362","719529504914280448","$MTD $341 from $325","","","",""
"stocktwits","$UUP","-0.361","5664221","bond buying is signaling some bad moves for the market","","","",""
"stocktwits","$TSLA","-0.477","17316092","I see more downside in next two weeks","be careful","-20 dollars drop potential","",""
"stocktwits","$TAP","-0.449","6183420","has just about run its course","needs to find a way to turn around","","",""
"twitter","$NVIV","-0.438","709834259687710720","Biggest Market Losers","","","",""
"stocktwits","$BSX","0.664","8874880","Loaded up on $bsx yesterday","looking good now","Still think way more upside than downside.","",""
"twitter","$GME","0.513","719544293606735872","Notable gainers among liquid option names this morning","","","",""
"twitter","$AAL","0.026","719864087132442624","Alcohol to Jet Fuel Now Eligible to be Used for Commercial Flight","","","",""
"twitter","$GOOGL","0.561","719529163686850560","5-star analyst @brianwieser from Pivotal Research upgraded rating on $GOOGL to BUY","Brian has a 79% success rate","","",""
"stocktwits","$SPY","0.220","6224926","Santa Rally","blow off top","","",""
"twitter","$AAPL","0.385","709410816626454529","iPhone 6s is still better than Galaxy S7","","","",""
"stocktwits","$HIMX","0.102","15971881","didn't factor in anything other than google and repeated good earnings","","","",""
"twitter","$FB","0.531","719736621025726464","Facebook is succeeding where Google should have dominated","","","",""
"twitter","$UCO","0.442","719555610497273856","$UCO +4.44%","","","",""
"stocktwits","$FXCM","0.509","31675138","up on day and will continue a surge next week.","","","",""
"twitter","$FB","0.272","719616043023523840","Facebook stock is now +$72","","","",""
"stocktwits","$SBUX","-0.216","8873647","ripe for a squeeze again","","","",""
"twitter","$BLCM","-0.438","709834259687710720","Biggest Market Losers","","","",""
"twitter","$FB","-0.393","719634125154492416","with personal story sharing declining","will $FB feeds start to look more like $TWTR","","",""
"twitter","$AMAT","0.334","709661218131283968","upgrades","stock recuperates","","",""
"stocktwits","$AAPL","0.329","31858971","saying this is a peak = fear mongering","Competition's dying","smartphone usage increasing","",""
"twitter","$SPPI","0.216","709731726726193152","the most trending","","","",""
"twitter","$VRX","-0.349","710187873492983809","who won't pay anymore","REAL risk","","",""
"twitter","$TSLA","-0.038","719600198956294144","still they are saying bullish LoL","","","",""
"stocktwits","$IVC","0.200","13796141","today's bull flag","","","",""
"stocktwits","$VIPS","0.305","22958505","growth rate of approximately 122.0% to 124.9%.","total net revenues to be between $780 mln and $790","","",""
"stocktwits","$CRZO","0.293","23526008","lots of nice setups in Energy ","liking Whiting more each day $CRZO too","","",""
"twitter","$BABA","-0.331","719619301754273792","Bad governance","not confident in core biz","","",""
"twitter","$VA","0.405","719547552874512384","Airplane And Hospitality Industries Set Their Sights On #Cuba","","","",""
"twitter","$EA","0.422","719717064785551360","Landed in $EA","","","",""
"stocktwits","$SKF","0.466","5948586","bought $skf as a hedge","","","",""
"stocktwits","$IYT","0.594","5985013","Transports always lead the way","bull flag","","",""
"stocktwits","$BAC","0.180","10181529","here is no case here","","","",""
"stocktwits","$JOE","0.788","16681249","$JOE Getting attention. No.2 on NYSE 100 top buying list","","","",""
"twitter","$ETFC","-0.464","709779449663721472","Short Setups Looking Nice....Really Nice","","","",""
"stocktwits","$VELT","0.387","11738018","Highest close since","","","",""
"stocktwits","$SPX","-0.462","11143190","should bring $SPX down into the close.","","","",""
"stocktwits","$BBRY","0.295","12548965","","","","",""
"twitter","$AAPL","-0.577","719900384291065856","money flow & stochastic dropping","itting resistance at the 200-day downtrend","Retest 50-day?","",""
"stocktwits","$FAS","0.066","14611561","9% run for this watch list winner","","","",""
"twitter","$CELG","0.580","710843355966652416","have had 2 wks of fund inflows for the first time","","","",""
"stocktwits","$GOOG","-0.404","31971935","$GOOG $GOOGL would suck","","","",""
"twitter","$WBA","0.301","711113383341199360","ses warrants to buy $1.17B & 14.97% of AmerisourceBergen(PBR16) shares","","","",""
"twitter","$AMZN","0.235","710483460863991808","Not every idea $AMZN has is bad.","","","",""
"stocktwits","$EGHT","0.400","6598629","looks primed","poised to run too","","",""
"twitter","$YHOO","0.613","719478441544925184","Yahoo extends bidding deadline as interest grows","","","",""
"stocktwits","$F","0.413","36285752","good news for domestic automakers","","","",""
"stocktwits","$TWTR","-0.055","27080546","mrkt needs to washout","","","",""
"twitter","$SBUX","-0.355","719874748503736320","valuation is high","No net cash","fwd growth <10%","high peg","historical high pe & fwd PE"
"twitter","$WFM","-0.499","719544764723499008","$WFM dropping below $30 again","not enthusing Investors","","",""
"twitter","$HTZ","-0.341","719507659741872128","$HTZ","lower","","",""
"twitter","$TSLA","-0.267","719649153471660032","Recall Adds To Reliability Issues","","","",""
"stocktwits","$YELP","-0.140","8534262","I'm out","","","",""
"stocktwits","$CYTX","-0.230","38897055","Think I may just start to avoid bios","","","",""
"twitter","$EL","0.450","719577031227404288","LVMH affordable #luxe doing just fine helped by duty-free & confident mainstream shoppers","","","",""
"stocktwits","$DDD","-0.462","14249400","no crying you get out","","","",""
"twitter","$PCLN","0.485","719915488558493696","Trying to break daily trend line!","Big move could happen","","",""
"stocktwits","$COG","0.449","6370584","Went long on this","","","",""
"stocktwits","$HAL","0.054","29324975","If bulls lucky enuff to get an upside gap fill, better take it","","","",""
"stocktwits","$JPM","0.335","14003238","wouldn't call any of these banks h+s quite yet","","","",""
"stocktwits","$GLD","-0.298","5888204","banks to implode","stress tests failing"," selloff","",""
"stocktwits","$WMB","0.566","23970758","New recommendation from Carl Kirst of BMO Capital Markets","","","",""
"twitter","$NFLX","0.102","719524447514963968","near a buy point last week","","","",""
"twitter","$HPQ","-0.452","719825008327954432","PC shipments drop to lowest level since 2007","","","",""
"stocktwits","$PKT","0.592","14018712","Momentum building for breakout trigger","Long setup","","",""
"stocktwits","$SPY","0.219","8335537","consistent gains but small","one of my favorite trade","","",""
"stocktwits","$AAPL","-0.151","9353010","$AAPL cult on stocktwits is actually disgusting","","","",""
"twitter","$UA","0.243","719599977480253440","Higher In Afternoon Trade","Buy Point","","",""
"twitter","$AVGO","0.454","708355634857529344","Sector Stocks Leading Today","","","",""
"twitter","$ADBE","0.361","710557981625036800","$ADBE flying","","","",""
"twitter","$TSLA","-0.310","719596702924152832","Tesla to recall 2,700 Model X SUVs over seat issue","","","",""
"stocktwits","$AAPL","0.383","16660347","Back in","","","",""
"stocktwits","$GDXJ","0.243","29932186","US Adds 321K Jobs In November","Unemployment Rate Remains At ","Gold Futures off","",""
"twitter","$PYPL","0.014","719913633858211840","under pressure along with the market","","","",""
"stocktwits","$KYAK","0.390","10573348","cash & cheap financing is fueling a wave of acquisitions","","","",""
"twitter","$XEC","-0.479","710193993833975809","Worst #sentiment for #SP1500 #stocks at market close","","","",""
"stocktwits","$SPY","0.442","19129771","gold going parabolic","keep chasing those tops boys","","",""
"stocktwits","$UVXY","-0.244","34511802","I would take profits if you have them","","","",""
"twitter","$NFLX","-0.412","719609334469148672","never widen your stop to stay in a trade","","","",""
"stocktwits","$BAH","-0.198","14061640","slips alongside shares on NSA leak news","","","",""
"twitter","$IMBBY","0.492","719523482736988160","Best outperformers ranked","","","",""
"twitter","$GOOGL","0.696","719590747876384768","$GOOGL is setting up above its 50-day moving average","","","",""
"stocktwits","$XLB","-0.458","12110894","weakest sector this year","possible false breakout","","",""
"twitter","$TSLA","-0.291","719571314495856640","Tesla is recalling 2,700 Model X cars","","","",""
"twitter","$MJN","0.421","709777793798656000","Unusual Call Activity","","","",""
"twitter","$TSLA","-0.485","719937689672220672","Wish had my puts bac","","","",""
"stocktwits","$UCO","0.078","35595680","see if they maintain 15% yield","should be announcing the monthly divy","","",""
"stocktwits","$SPY","0.375","16376874","look at all the shorts running for cover","","","",""
"stocktwits","$GASL","-0.234","30798032","As with all 3x ETFs, it is subject to decay due to daily rebalancin","so be careful holding","","",""
"stocktwits","$LULU","0.270","21487028","Signs of life are emerging :)","","","",""
"twitter","$SDS","0.271","710822084579086336","Markets Back in Black for 2016","","","",""
"stocktwits","$SPY","0.185","7282427","I rather be neutral to bullish rather than bearish","","","",""
"stocktwits","$UA","0.219","30769878","Diversifies. Adds International exposure","","","",""
"stocktwits","$AAPL","-0.270","7607512","Out $AAPL","","","",""
"stocktwits","$DIA","-0.172","5984355","capped","this range leads to meltdown","","",""
"stocktwits","$OREX","0.185","7957687","long on","","","",""
"twitter","$GOOGL","0.241","719579550842167296","$GOOGL patents turn signal detector for autonomous cars.","","","",""
"twitter","$AAPL","0.306","710235175351820288","moves up a little more today off of cup and handle","","","",""
"twitter","$FB","-0.641","719889484771389440","makes less profit than the sales of $AAPL Watch","","","",""
"stocktwits","$GPS","-0.441","5339568","Comparable Store Sales -4%","","","",""
"stocktwits","$DXCM","0.478","16092592","Making higher highs & higher lows as it consolidates over past several weeks","","","",""
"stocktwits","$NEM","0.425","24504842","looking to add a gold miner and possibly lower pe tech name into close","","","",""
"stocktwits","$BIDU","-0.695","7031131","sold at 139.26 and flat","","","",""
"twitter","$FB","-0.147","719648664193527808","suddenly realizing","","","",""
"twitter","$LABU","0.488","709389876295110656","long","","","",""
"twitter","$FIT","-0.179","709411365299982336","$FIT and $SUNE have not changed.","","","",""
"twitter","$NUGT","0.665","719528014334308352","$NUGT fucking beast mode, kicking shirts in the NUGT pouch","","","",""
"stocktwits","$TLT","-0.399","36370880","my hospital reits are slaughtered","","","",""
"stocktwits","$KNDI","-0.595","32753996","i want to cry","","","",""
